2024 01 01 00    72    -6 10163   160    31     6 -9999 -9999
2024 01 01 01    67     0 10164   190    31 -9999     0 -9999
2024 01 01 02    67     0 10166   190    36 -9999     0 -9999
2024 01 01 03    67     6 10166   170    21     8     0 -9999
2024 01 01 04    61     0 10161   130    26 -9999     0 -9999
2024 01 01 05    56     0 10157     0     0     2     0 -9999
2024 01 01 06    56     6 10154   120    15     2     0 -9999
2024 01 01 07    50     6 10153    70    15 -9999     0 -9999
2024 01 01 08    50    11 10153     0     0 -9999    -1 -9999
2024 01 01 09    56    22 10153     0     0     8    -1 -9999
2024 01 01 10    56    22 10145     0     0 -9999    -1 -9999
2024 01 01 11    50    22 10159   280    41 -9999     0 -9999
2024 01 01 12    50    17 10163   320    36     6     0    -1
2024 01 01 13    44    11 10166   350    21 -9999     0 -9999
2024 01 01 14    50    17 10172   340    41 -9999     0 -9999
2024 01 01 15    56    17 10180   350    41     8     0 -9999
2024 01 01 16    61    11 10184   340    36 -9999    -1 -9999
2024 01 01 17    61     0 10179   340    46 -9999    -1 -9999
2024 01 01 18    56   -11 10177   320    51     8    -1    -1
2024 01 01 19    61   -17 10175   320    46 -9999    -1 -9999
2024 01 01 20    50    -6 10176   320    62 -9999    -1 -9999
2024 01 01 21    44    -6 10184   340    51     8    -1 -9999
2024 01 01 22    44     0 10189   300    46 -9999     0 -9999
2024 01 01 23    44     6 10193   320    26 -9999     0 -9999
2024 01 02 00    44     6 10197   330    41     8    -1    -1
2024 01 02 01    39     6 10200   320    57 -9999    -1 -9999
2024 01 02 02    39    11 10201   320    51 -9999    -1 -9999
2024 01 02 03    39    11 10202   330    46     8     0 -9999
2024 01 02 04    44     6 10202   340    51 -9999     0 -9999
2024 01 02 05    44     6 10201   330    57 -9999     0 -9999
2024 01 02 06    50     0 10200   320    67     8     0    -1
2024 01 02 07    50     0 10202   330    46 -9999     0 -9999
2024 01 02 08    44   -22 10203   320    77 -9999     0 -9999
2024 01 02 09    44   -33 10205   330    62     8     0 -9999
2024 01 02 10    39   -33 10208   330    62 -9999     0 -9999
2024 01 02 11    28   -39 10215   330    51     4     0 -9999
2024 01 02 12    22   -44 10219   330    51     4     0 -9999
2024 01 02 13    22   -44 10224   340    62     4     0 -9999
2024 01 02 14    33   -39 10228   340    51 -9999     0 -9999
2024 01 02 15    44   -33 10232   350    62     8     0 -9999
2024 01 02 16    50   -39 10230   330    77 -9999     0 -9999
2024 01 02 17    61   -39 10219   310    67 -9999     0 -9999
2024 01 02 18    67   -39 10207   340    82     2     0 -9999
2024 01 02 19    72   -39 10197   320    82     0     0 -9999
2024 01 02 20    78   -39 10193   310    46     0     0 -9999
2024 01 02 21    72   -33 10191   340    51     0     0 -9999
2024 01 02 22    67   -39 10190   320    46     0     0 -9999
2024 01 02 23    61   -39 10192   290    31     0     0 -9999
2024 01 03 00    50   -33 10195   310    21     0     0 -9999
2024 01 03 01    50   -33 10197   320    46     0     0 -9999
2024 01 03 02    39   -39 10198 -9999    21     0     0 -9999
2024 01 03 03    39   -39 10198   320    26     0     0 -9999
2024 01 03 04    22   -39 10197   350    26     0     0 -9999
2024 01 03 05    22   -39 10198   320    31     2     0 -9999
2024 01 03 06    17   -44 10191   340    26     6     0 -9999
2024 01 03 07    17   -44 10191   340    15 -9999     0 -9999
2024 01 03 08    17   -44 10192   360    15 -9999     0 -9999
2024 01 03 09    22   -44 10190     0     0     4     0 -9999
2024 01 03 10    17   -44 10190   330    21 -9999     0 -9999
2024 01 03 11    11   -44 10195   330    31 -9999     0 -9999
2024 01 03 12    17   -39 10196   350    36     6     0 -9999
2024 01 03 13    17   -33 10196   230    15 -9999     0 -9999
2024 01 03 14    28   -17 10196   180    21     4     0 -9999
2024 01 03 15    44   -11 10201   170    31     2     0 -9999
2024 01 03 16    67   -33 10202   330    26     4     0 -9999
2024 01 03 17    72   -22 10194   160    26     4     0 -9999
2024 01 03 18    72   -22 10179   160    21     4     0 -9999
2024 01 03 19    83   -22 10169   170    36 -9999     0 -9999
2024 01 03 20    89   -22 10164   170    31 -9999     0 -9999
2024 01 03 21    72   -22 10167   180    41     6     0 -9999
2024 01 03 22    67   -33 10166   190    36 -9999     0 -9999
2024 01 03 23    61   -33 10164   190    31 -9999     0 -9999
2024 01 04 00    61   -28 10166   200    26     6     0 -9999
2024 01 04 01    56   -17 10161   190    26 -9999     0 -9999
2024 01 04 02    56   -22 10161   190    31 -9999     0 -9999
2024 01 04 03    56   -11 10164   180    41     6     0 -9999
2024 01 04 04    50    -6 10162   210    15 -9999     0 -9999
2024 01 04 05    56    -6 10156     0     0 -9999     0 -9999
2024 01 04 06    50     6 10151     0     0     8     0 -9999
2024 01 04 07    50     0 10147     0     0 -9999     0 -9999
2024 01 04 08    50     0 10149     0     0 -9999     0 -9999
2024 01 04 09    56     0 10148     0     0     8     0 -9999
2024 01 04 10    50   -17 10148   330    36 -9999     0 -9999
2024 01 04 11    44   -22 10153   340    36 -9999     0 -9999
2024 01 04 12    44   -22 10159   320    36     8     0 -9999
2024 01 04 13    44   -28 10164   330    41 -9999     0 -9999
2024 01 04 14    50   -22 10172   330    57 -9999     0 -9999
2024 01 04 15    56   -17 10179   330    62     6     0 -9999
2024 01 04 16    61   -22 10188   320    67 -9999     0 -9999
2024 01 04 17    83   -22 10186   330    67 -9999     0 -9999
2024 01 04 18    72   -28 10185   340    82     8     0 -9999
2024 01 04 19    61   -44 10189   320    77 -9999     0 -9999
2024 01 04 20    72   -61 10194   330    88 -9999     0 -9999
2024 01 04 21    61   -72 10205   330    98     6     0 -9999
2024 01 04 22    50   -67 10217   340    88     4     0 -9999
2024 01 04 23    39   -72 10227   320    51     2     0 -9999
2024 01 05 00    28   -72 10234   340    62     0     0 -9999
2024 01 05 01    22   -72 10240   320    51     0     0 -9999
2024 01 05 02    17   -78 10248   330    46     0     0 -9999
2024 01 05 03    11   -78 10253   330    51     0     0 -9999
2024 01 05 04     6   -78 10257   330    57     0     0 -9999
2024 01 05 05     0   -78 10260   330    41     0     0 -9999
2024 01 05 06    -6   -83 10262   330    46     0     0 -9999
2024 01 05 07    -6   -83 10268   330    62     4     0 -9999
2024 01 05 08   -11   -83 10272   340    46     4     0 -9999
2024 01 05 09   -17   -83 10276   340    41     2     0 -9999
2024 01 05 10   -22   -89 10279   330    26     2     0 -9999
2024 01 05 11   -22   -89 10284   340    41     0     0 -9999
2024 01 05 12   -22   -89 10292   340    26     0     0 -9999
2024 01 05 13   -22   -89 10296   350    26     2     0 -9999
2024 01 05 14     0   -83 10300    10    26     2     0 -9999
2024 01 05 15    11   -78 10304   340    31     2     0 -9999
2024 01 05 16    22   -78 10298 -9999    15     4     0 -9999
2024 01 05 17    33   -72 10285   170    15     4     0 -9999
2024 01 05 18    39   -72 10271   100    21     4     0 -9999
2024 01 05 19    44   -67 10262   170    31     4     0 -9999
2024 01 05 20    44   -61 10253   170    41     4     0 -9999
2024 01 05 21    44   -61 10252   180    41     6     0 -9999
2024 01 05 22    33   -67 10251   190    36 -9999     0 -9999
2024 01 05 23    28   -67 10261   220    21 -9999     0 -9999
2024 01 06 00    22   -61 10253   190    21     6     0 -9999
2024 01 06 01    17   -50 10259   210    26 -9999     0 -9999
2024 01 06 02    11   -50 10248   170    21 -9999     0 -9999
2024 01 06 03    17   -39 10240   190    21     6     0 -9999
2024 01 06 04    11   -44 10239   200    21 -9999     0 -9999
2024 01 06 05    11   -44 10236   190    15 -9999     0 -9999
2024 01 06 06    11   -44 10232   150    26     8     0 -9999
2024 01 06 07    11   -44 10227   170    36 -9999     0 -9999
2024 01 06 08    11   -39 10226   200    31 -9999     0 -9999
2024 01 06 09    11   -44 10218   190    26     8     0 -9999
2024 01 06 10    11   -50 10205   170    21 -9999     0 -9999
2024 01 06 11    17   -39 10208   190    36 -9999     0 -9999
2024 01 06 12    22   -33 10204   150    26     8     0 -9999
2024 01 06 13    22   -22 10193   150    15 -9999     0 -9999
2024 01 06 14    28   -17 10178   100    31 -9999    -1 -9999
2024 01 06 15    33    -6 10178   100    26     8    -1 -9999
2024 01 06 16    39     6 10168    90    36 -9999     3 -9999
2024 01 06 17    33    17 10136    50    46 -9999     8 -9999
2024 01 06 18    33    22 10114    40    36     8    20    30
2024 01 06 19    39    22 10094    80    62 -9999    38 -9999
2024 01 06 20    39    28 10077    40    67 -9999    56 -9999
2024 01 06 21    39    28 10056    40    77     8    12 -9999
2024 01 06 22    44    28 10041    30    51 -9999    43 -9999
2024 01 06 23    44    33 -9999   290    46 -9999     2 -9999
2024 01 07 00    44    28 10045   330    62     8    10   230
2024 01 07 01    33    22 10039   330    77 -9999     3 -9999
2024 01 07 02    33    11 10040   320    67 -9999     0 -9999
2024 01 07 03    28    11 10044   320    57     8     0 -9999
2024 01 07 04    28     6 10044   320    51 -9999     0 -9999
2024 01 07 05    22     0 10050   310    36     4     0 -9999
2024 01 07 06    22     0 10052   290    41     4     0     3
2024 01 07 07    22     0 10052 -9999    21 -9999     0 -9999
2024 01 07 08    22     0 10055   260    15 -9999     0 -9999
2024 01 07 09    17     0 10049   340    31     6     0 -9999
2024 01 07 10    17     0 10048   200    15 -9999     0 -9999
2024 01 07 11    17     6 10053   210    21 -9999     0 -9999
2024 01 07 12    17     0 10059   210    31     4     0 -9999
2024 01 07 13    11     0 10065   200    26 -9999     0 -9999
2024 01 07 14    28    11 10071   180    21 -9999     0 -9999
2024 01 07 15    44    17 10074   190    36     6     0 -9999
2024 01 07 16    44    22 10074   170    51     4     0 -9999
2024 01 07 17    44    22 10070   170    67 -9999     0 -9999
2024 01 07 18   100     6 10067   300    77     6     0 -9999
2024 01 07 19   111     6 10073   310    88 -9999     0 -9999
2024 01 07 20   100     0 10083   310    57 -9999     0 -9999
2024 01 07 21   100    -6 10099   300    51     6     0 -9999
2024 01 07 22    89   -11 10115   290    77 -9999     0 -9999
2024 01 07 23    89   -17 10134   300    57 -9999     0 -9999
2024 01 08 00    78   -17 10147   280    41     4     0 -9999
2024 01 08 01    72   -22 10160   290    77     2     0 -9999
2024 01 08 02    67   -22 10178   290    51     2     0 -9999
2024 01 08 03    61   -22 10186   300    72     2     0 -9999
2024 01 08 04    61   -22 10199   310    77 -9999     0 -9999
2024 01 08 05    61   -22 10207   290    67     4     0 -9999
2024 01 08 06    56   -22 10218   320    62     2     0 -9999
2024 01 08 07    56   -22 10222   320    36     2     0 -9999
2024 01 08 08    44   -22 10233   320    36     4     0 -9999
