Detailed Statistics Cancellation  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/20/2024","1689","","LAX"
"UA","01/20/2024","1842","","DEN"
"UA","01/20/2024","1875","","LAS"
"UA","01/20/2024","1938","","PHX"
"UA","01/20/2024","2029","","SAN"
"UA","01/21/2024","0204","","SRQ"
"UA","01/21/2024","0326","","SEA"
"UA","01/21/2024","0641","","BOS"
"UA","01/21/2024","1218","","SFO"
"UA","01/21/2024","1398","","DEN"
"UA","01/21/2024","1499","","MCO"
"UA","01/21/2024","1689","","LAX"
"UA","01/21/2024","2253","","MSY"
"UA","01/21/2024","2303","","LAX"
"UA","01/22/2024","0326","","SEA"
"UA","01/22/2024","0641","","BOS"
"UA","01/22/2024","1086","","MIA"
"UA","01/22/2024","1110","","SFO"
"UA","01/22/2024","1398","","DEN"
"UA","01/22/2024","1406","","RSW"
"UA","01/22/2024","1689","","LAX"
"UA","01/22/2024","1938","","PHX"
"UA","01/22/2024","2303","","LAX"
"UA","01/23/2024","0326","","SEA"
"UA","01/23/2024","1110","","SFO"
"UA","01/23/2024","1218","","SFO"
"UA","01/23/2024","1398","","DEN"
"UA","01/23/2024","1689","","LAX"
"UA","01/23/2024","1842","","DEN"
"UA","01/23/2024","1938","","PHX"
"UA","01/23/2024","2098","","MCO"
"UA","01/23/2024","2671","","SAT"
"UA","01/24/2024","0326","","SEA"
"UA","01/24/2024","1110","","SFO"
"UA","01/24/2024","1406","","RSW"
"UA","01/24/2024","1938","","PHX"
"UA","01/24/2024","1979","","EWR"
"UA","01/24/2024","2098","","MCO"
"UA","01/24/2024","2187","","SAN"
"UA","01/24/2024","2671","","SAT"
"UA","01/25/2024","0326","","SEA"
"UA","01/25/2024","0641","","BOS"
"UA","01/25/2024","1110","","SFO"
"UA","01/25/2024","1193","","IAH"
"UA","01/25/2024","1398","","DEN"
"UA","01/25/2024","1499","","MCO"
"UA","01/25/2024","1689","","LAX"
"UA","01/25/2024","1938","","PHX"
"UA","01/25/2024","2098","","MCO"
"UA","01/25/2024","2253","","MSY"
"UA","01/25/2024","2303","","LAX"
"UA","01/25/2024","2671","","SAT"
"UA","01/26/2024","0326","","SEA"
"UA","01/26/2024","0641","","BOS"
"UA","01/26/2024","1110","","SFO"
"UA","01/26/2024","1193","","IAH"
"UA","01/26/2024","1398","","DEN"
"UA","01/26/2024","1938","","PHX"
"UA","01/26/2024","2074","","DEN"
"UA","01/26/2024","2098","","MCO"
"UA","01/26/2024","2187","","SAN"
"UA","01/26/2024","2303","","LAX"
"UA","01/26/2024","2671","","SAT"
"UA","01/27/2024","0326","","SEA"
"UA","01/27/2024","0507","","EWR"
"UA","01/27/2024","0635","","MCO"
"UA","01/27/2024","0641","","BOS"
"UA","01/27/2024","1398","","DEN"
"UA","01/27/2024","1406","","RSW"
"UA","01/27/2024","1580","","SFO"
"UA","01/27/2024","1689","","LAX"
"UA","01/27/2024","1712","","SAN"
"UA","01/27/2024","1875","","LAS"
"UA","01/27/2024","1938","","PHX"
"UA","01/27/2024","2253","","MSY"
"UA","01/27/2024","2303","","LAX"
"UA","01/27/2024","2497","","ORD"
"UA","01/28/2024","0507","","EWR"
"UA","02/01/2024","0667","","LAX"
"UA","02/03/2024","0510","","TPA"
"UA","02/10/2024","0700","","SFO"
"UA","02/16/2024","1074","N27908","IAH"
"UA","02/19/2024","1347","","RDU"
"UA","02/22/2024","0700","","SFO"
"UA","02/29/2024","2642","","ATL"
"UA","03/08/2024","0700","","SFO"
"UA","03/09/2024","0330","","EWR"
"UA","03/15/2024","0667","","LAX"
"UA","03/15/2024","1928","","DFW"
"UA","03/16/2024","1234","","SRQ"
"UA","03/17/2024","1366","","DEN"
"UA","03/24/2024","1234","N855UA","SRQ"
"UA","04/03/2024","0562","","FLL"
"UA","04/03/2024","1335","","LAS"
"UA","04/03/2024","2049","","RSW"
"UA","04/03/2024","2277","","TPA"
"UA","04/05/2024","2060","","BOS"
"UA","04/08/2024","2074","","DEN"
"UA","04/09/2024","1375","","ORF"
"UA","04/11/2024","0471","","MCO"
"UA","04/17/2024","0562","","FLL"
"UA","04/18/2024","0683","","TPA"
"UA","04/18/2024","1211","","DEN"
"UA","04/20/2024","1928","","DFW"
"UA","04/23/2024","1073","","MIA"
"UA","04/28/2024","1366","","DEN"
"UA","05/03/2024","1234","","SRQ"
"UA","05/04/2024","1375","","ORF"
"UA","05/07/2024","1554","","ORF"
"UA","05/09/2024","1366","","DEN"
"UA","05/14/2024","1366","","DEN"
"UA","05/15/2024","2314","","DFW"
"UA","05/16/2024","1355","","MCO"
"UA","05/16/2024","1375","","ORF"
"UA","05/16/2024","2314","","DFW"
"UA","05/18/2024","1366","","DEN"
"UA","05/24/2024","2114","","ATL"
"UA","05/25/2024","1547","N33132","ORD"
"UA","05/26/2024","2435","N455UA","SMF"
"UA","05/31/2024","2259","","DFW"
"UA","06/05/2024","1470","N17337","ANC"
"UA","06/05/2024","2435","","SMF"
"UA","06/06/2024","1323","","LAS"
"UA","06/07/2024","1193","","IAH"
"UA","06/07/2024","2276","","LAX"
"UA","06/08/2024","2209","","EWR"
"UA","06/10/2024","2314","","DFW"
"UA","06/12/2024","1073","N68880","MIA"
"UA","06/12/2024","1943","","DEN"
"UA","06/12/2024","2127","","EWR"
"UA","06/13/2024","1073","","MIA"
"UA","06/13/2024","1379","","FLL"
"UA","06/14/2024","0326","","SEA"
"UA","06/16/2024","2303","","LAX"
"UA","06/23/2024","1554","","ORF"
"UA","06/23/2024","1689","","LAX"
"UA","06/26/2024","2049","","EWR"
"UA","06/26/2024","2209","","EWR"
"UA","06/27/2024","1943","","DEN"
"UA","06/27/2024","2455","","EWR"
"UA","06/30/2024","1193","","IAH"
"UA","07/01/2024","0472","","PDX"
"UA","07/01/2024","1997","","EWR"
"UA","07/04/2024","2276","","LAX"
"UA","07/07/2024","0465","","IAH"
"UA","07/07/2024","2275","","IAH"
"UA","07/08/2024","1193","","IAH"
"UA","07/08/2024","1688","","IAH"
"UA","07/08/2024","2058","","IAH"
"UA","07/08/2024","2275","","IAH"
"UA","07/08/2024","2382","","RDU"
"UA","07/13/2024","1930","","SAN"
"UA","07/13/2024","2275","","IAH"
"UA","07/14/2024","0444","","BDL"
"UA","07/15/2024","1997","","EWR"
"UA","07/15/2024","2727","","ORD"
"UA","07/16/2024","2344","","SFO"
"UA","07/16/2024","2348","","ORD"
"UA","07/17/2024","2398","","EWR"
"UA","07/19/2024","0379","","MCO"
"UA","07/19/2024","0444","","BDL"
"UA","07/19/2024","0471","","MCO"
"UA","07/19/2024","0667","","LAX"
"UA","07/19/2024","0683","","TPA"
"UA","07/19/2024","0780","","LAS"
"UA","07/19/2024","1323","","LAS"
"UA","07/19/2024","1348","","RDU"
"UA","07/19/2024","1825","","FLL"
"UA","07/19/2024","1858","","AUS"
"UA","07/19/2024","1893","","SEA"
"UA","07/19/2024","1894","","CHS"
"UA","07/19/2024","1938","","PHX"
"UA","07/19/2024","1963","","SEA"
"UA","07/19/2024","1997","","EWR"
"UA","07/19/2024","2058","","IAH"
"UA","07/19/2024","2084","","JAX"
"UA","07/19/2024","2135","","SMF"
"UA","07/19/2024","2228","","SFO"
"UA","07/19/2024","2303","","LAX"
"UA","07/19/2024","2314","","DFW"
"UA","07/19/2024","2331","","ORD"
"UA","07/19/2024","2333","","MSY"
"UA","07/19/2024","2348","","ORD"
"UA","07/19/2024","2382","","RDU"
"UA","07/19/2024","2496","","BNA"
"UA","07/20/2024","0326","","SEA"
"UA","07/20/2024","0444","","BDL"
"UA","07/20/2024","0688","","BOS"
"UA","07/20/2024","1348","","RDU"
"UA","07/20/2024","1412","","CLT"
"UA","07/20/2024","1830","","JAX"
"UA","07/20/2024","1847","","PHX"
"UA","07/20/2024","2135","","SMF"
"UA","07/20/2024","2382","","RDU"
"UA","07/21/2024","0379","","MCO"
"UA","07/21/2024","1963","","SEA"
"UA","07/21/2024","2348","","ORD"
"UA","07/27/2024","2074","","DEN"
"UA","07/29/2024","1940","N13720","ATL"
"UA","07/30/2024","1997","","EWR"
"UA","08/01/2024","2331","","ORD"
"UA","08/02/2024","1997","","EWR"
"UA","08/02/2024","2671","","SAT"
"UA","08/03/2024","1140","","TPA"
"UA","08/03/2024","1193","","IAH"
"UA","08/03/2024","1412","","CLT"
"UA","08/03/2024","1470","","ANC"
"UA","08/03/2024","1554","","ORF"
"UA","08/03/2024","1822","","BOS"
"UA","08/03/2024","1830","","JAX"
"UA","08/03/2024","1858","","AUS"
"UA","08/03/2024","1904","","MCO"
"UA","08/03/2024","1997","","EWR"
"UA","08/03/2024","2081","N37263","ATL"
"UA","08/03/2024","2398","","EWR"
"UA","08/04/2024","0689","","MCO"
"UA","08/04/2024","1116","N29907","SFO"
"UA","08/04/2024","1997","","EWR"
"UA","08/04/2024","2116","","DFW"
"UA","08/04/2024","2671","","SAT"
"UA","08/05/2024","0471","","MCO"
"UA","08/05/2024","1830","","JAX"
"UA","08/05/2024","2276","","LAX"
"UA","08/06/2024","0688","N37527","BOS"
"UA","08/06/2024","1894","","CHS"
"UA","08/07/2024","2455","","EWR"
"UA","08/09/2024","1997","","EWR"
"UA","08/09/2024","2398","","EWR"
"UA","08/14/2024","2382","","RDU"
"UA","08/17/2024","1116","","SFO"
"UA","08/18/2024","0326","N77543","SEA"
"UA","08/18/2024","1470","N47340","ANC"
"UA","08/18/2024","1997","","EWR"
"UA","08/18/2024","2029","N67501","SAN"
"UA","08/18/2024","2135","N27270","SMF"
"UA","08/18/2024","2727","N34222","ORD"
"UA","08/20/2024","2253","","MSY"
"UA","08/29/2024","0393","","JAX"
"UA","08/29/2024","0624","","IAH"
"UA","08/29/2024","0717","","BDL"
"UA","08/29/2024","0780","","LAS"
"UA","08/29/2024","1140","","TPA"
"UA","08/29/2024","1379","","FLL"
"UA","08/29/2024","1470","","ANC"
"UA","08/29/2024","1521","","MSY"
"UA","08/29/2024","1554","","ORF"
"UA","08/29/2024","1584","","SFO"
"UA","08/29/2024","1753","","DEN"
"UA","08/29/2024","1858","","AUS"
"UA","08/29/2024","1938","","PHX"
"UA","08/29/2024","1997","","EWR"
"UA","08/29/2024","2081","","ATL"
"UA","08/29/2024","2228","N37437","SFO"
"UA","08/29/2024","2268","","MCO"
"UA","08/29/2024","2275","","IAH"
"UA","08/29/2024","2303","","LAX"
"UA","08/29/2024","2395","","DEN"
"UA","08/29/2024","2645","","EWR"
"UA","08/30/2024","1073","","MIA"
"UA","08/30/2024","1412","","CLT"
"UA","09/02/2024","0381","","AUS"
"UA","09/06/2024","1366","","DEN"
"UA","09/06/2024","1753","","DEN"
"UA","09/07/2024","1753","","DEN"
"UA","09/11/2024","1521","","MSY"
"UA","09/11/2024","2253","","MSY"
"UA","09/12/2024","2253","","MSY"
"UA","09/21/2024","1521","","MSY"
"UA","09/26/2024","0683","","TPA"
"UA","09/26/2024","1140","","TPA"
"UA","09/26/2024","1406","","RSW"
"UA","09/26/2024","2277","","TPA"
"UA","09/27/2024","1193","","IAH"
"UA","09/28/2024","0683","","TPA"
"UA","09/28/2024","1964","","SEA"
"UA","09/28/2024","2029","","SAN"
"UA","09/29/2024","0683","","TPA"
"UA","10/08/2024","0683","","TPA"
"UA","10/08/2024","0689","","MCO"
"UA","10/08/2024","1140","","TPA"
"UA","10/08/2024","2277","","TPA"
"UA","10/09/2024","0379","","MCO"
"UA","10/09/2024","0471","","MCO"
"UA","10/09/2024","0683","","TPA"
"UA","10/09/2024","0689","","MCO"
"UA","10/09/2024","1140","","TPA"
"UA","10/09/2024","1379","","FLL"
"UA","10/09/2024","1406","","RSW"
"UA","10/09/2024","2268","","MCO"
"UA","10/09/2024","2277","","TPA"
"UA","10/10/2024","0379","","MCO"
"UA","10/10/2024","0471","","MCO"
"UA","10/10/2024","0683","","TPA"
"UA","10/10/2024","1140","","TPA"
"UA","10/10/2024","1406","","RSW"
"UA","10/10/2024","2268","","MCO"
"UA","10/10/2024","2277","","TPA"
"UA","10/14/2024","1997","","EWR"
"UA","10/15/2024","2081","","ATL"
"UA","10/15/2024","2209","N431UA","ORF"
"UA","10/16/2024","1977","","CMH"
"UA","10/20/2024","1406","","RSW"
"UA","10/25/2024","1366","","DEN"
"UA","10/26/2024","1366","","DEN"
"UA","11/08/2024","0444","","BDL"
"UA","11/11/2024","0673","","ORD"
"UA","11/14/2024","1940","","ATL"
"UA","11/17/2024","0381","","AUS"
"UA","11/17/2024","0659","","LAX"
"UA","11/22/2024","0769","","SFO"
"UA","11/22/2024","1997","","EWR"
"UA","11/23/2024","1053","","PHX"
"UA","11/24/2024","0769","","SFO"
